time,open,high,low,close,volume
2020-04-07 12:00,1.08773,1.09172,1.08736,1.09052,18602
2020-04-07 13:00,1.09049,1.09170,1.08981,1.09148,19151
2020-04-07 14:00,1.09146,1.09263,1.08807,1.08839,25010
2020-04-07 15:00,1.08839,1.08977,1.08761,1.08859,18081
2020-04-07 16:00,1.08859,1.09099,1.08829,1.08961,13644
2020-04-07 17:00,1.08964,1.09045,1.08890,1.09035,9509
2020-04-07 18:00,1.09034,1.09098,1.09013,1.09025,12433
2020-04-07 19:00,1.09024,1.09098,1.09013,1.09046,9063
2020-04-07 20:00,1.09046,1.09047,1.08891,1.08904,2588
2020-04-07 21:00,1.08903,1.08951,1.08890,1.08905,878
2020-04-07 22:00,1.08906,1.08962,1.08903,1.08922,4609
2020-04-07 23:00,1.08922,1.09019,1.08911,1.08935,6040
2020-04-08 00:00,1.08934,1.08969,1.08668,1.08677,13803
2020-04-08 01:00,1.08678,1.08792,1.08675,1.08710,8036
2020-04-08 02:00,1.08709,1.08761,1.08642,1.08646,5783
2020-04-08 03:00,1.08648,1.08674,1.08588,1.08596,6561
2020-04-08 04:00,1.08597,1.08713,1.08596,1.08674,6239
2020-04-08 05:00,1.08671,1.08878,1.08646,1.08812,8608
2020-04-08 06:00,1.08814,1.08825,1.08299,1.08571,20424
2020-04-08 07:00,1.08572,1.08654,1.08451,1.08605,16127
2020-04-08 08:00,1.08606,1.08624,1.08457,1.08520,12807
2020-04-08 09:00,1.08526,1.08738,1.08526,1.08633,14281
2020-04-08 10:00,1.08633,1.08793,1.08607,1.08715,11185
2020-04-08 11:00,1.08714,1.08768,1.08570,1.08682,11330
2020-04-08 12:00,1.08681,1.08845,1.08666,1.08727,12028
2020-04-08 13:00,1.08726,1.08883,1.08694,1.08802,15317
2020-04-08 14:00,1.08803,1.08867,1.08534,1.08633,16569
2020-04-08 15:00,1.08633,1.08833,1.08591,1.08637,13304
2020-04-08 16:00,1.08637,1.08659,1.08508,1.08635,9329
2020-04-08 17:00,1.08634,1.08668,1.08605,1.08655,6762
2020-04-08 18:00,1.08651,1.08727,1.08608,1.08619,7122
2020-04-08 19:00,1.08621,1.08666,1.08519,1.08531,7710
2020-04-08 20:00,1.08531,1.08573,1.08501,1.08564,1875
2020-04-08 21:00,1.08559,1.08589,1.08545,1.08559,894
2020-04-08 22:00,1.08551,1.08609,1.08545,1.08589,2413
2020-04-08 23:00,1.08587,1.08621,1.08570,1.08599,3248
2020-04-09 00:00,1.08598,1.08802,1.08581,1.08715,10492
2020-04-09 01:00,1.08713,1.08771,1.08559,1.08591,10846
2020-04-09 02:00,1.08594,1.08620,1.08534,1.08617,6280
2020-04-09 03:00,1.08616,1.08697,1.08566,1.08664,6149
2020-04-09 04:00,1.08665,1.08710,1.08624,1.08651,4734
2020-04-09 05:00,1.08650,1.08664,1.08547,1.08552,4409
2020-04-09 06:00,1.08553,1.08606,1.08409,1.08598,11151
2020-04-09 07:00,1.08601,1.08821,1.08578,1.08757,12969
2020-04-09 08:00,1.08756,1.08784,1.08674,1.08690,9054
2020-04-09 09:00,1.08691,1.08877,1.08661,1.08863,9963
2020-04-09 10:00,1.08864,1.08893,1.08554,1.08597,11765
2020-04-09 11:00,1.08599,1.08646,1.08496,1.08579,13256
2020-04-09 12:00,1.08579,1.09100,1.08578,1.09039,21798
2020-04-09 13:00,1.09039,1.09417,1.08949,1.09311,27516
2020-04-09 14:00,1.09314,1.09454,1.09148,1.09369,24340
2020-04-09 15:00,1.09369,1.09452,1.09255,1.09302,18791
2020-04-09 16:00,1.09303,1.09388,1.09229,1.09359,9929
2020-04-09 17:00,1.09360,1.09516,1.09305,1.09446,13360
2020-04-09 18:00,1.09447,1.09464,1.09199,1.09222,14185
2020-04-09 19:00,1.09222,1.09366,1.09206,1.09359,11768
2020-04-09 20:00,1.09360,1.09396,1.09236,1.09285,3295
2020-04-09 21:00,1.09286,1.09320,1.09208,1.09252,1168
2020-04-09 22:00,1.09253,1.09300,1.09227,1.09275,3073
2020-04-09 23:00,1.09285,1.09353,1.09214,1.09226,2779
2020-04-10 00:00,1.09226,1.09266,1.09192,1.09224,2058
2020-04-10 01:00,1.09224,1.09285,1.09206,1.09283,2874
2020-04-10 02:00,1.09283,1.09365,1.09249,1.09337,3783
2020-04-10 03:00,1.09339,1.09441,1.09318,1.09427,3534
